Iteration ; Total delay [hours] ; Total congestion toll payments [monetary units] ; Total travel time [hours]; Total user benefits [monetary units]; System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]
21 ; 193889.89416666667 ; 0.0 ; 1061485.0852777779 ; 1.3106931536676995E8;1.3106931536676995E8
22 ; 262556.5805555555 ; 0.0 ; 1130666.9386111111 ; 1.2872053129689157E8;1.2872053129689157E8
23 ; 237399.97722222222 ; 0.0 ; 1105479.1469444444 ; 1.30195436841682E8;1.30195436841682E8
24 ; 170413.8275 ; 0.0 ; 1039130.9497222222 ; 1.3193930328953008E8;1.3193930328953008E8
25 ; 183831.38944444444 ; 0.0 ; 1051649.7758333334 ; 1.3142887015442397E8;1.3142887015442397E8
26 ; 170071.80583333335 ; 0.0 ; 1038340.3616666667 ; 1.3196105521947141E8;1.3196105521947141E8
27 ; 201231.76472222223 ; 0.0 ; 1069376.5327777779 ; 1.3098182924196164E8;1.3098182924196164E8
28 ; 135120.4386111111 ; 0.0 ; 1003269.4222222222 ; 1.3315745521524301E8;1.3315745521524301E8
29 ; 116109.34472222222 ; 0.0 ; 983359.86 ; 1.3375645823081149E8;1.3375645823081149E8
30 ; 129536.48027777778 ; 0.0 ; 996490.4811111111 ; 1.3348428602885957E8;1.3348428602885957E8
31 ; 302732.12666666665 ; 0.0 ; 1169857.2386111112 ; 1.2760457755276257E8;1.2760457755276257E8
32 ; 199291.1075 ; 0.0 ; 1066803.8775 ; 1.3134541060865135E8;1.3134541060865135E8
33 ; 253935.27194444445 ; 0.0 ; 1121763.8575 ; 1.2937624495765215E8;1.2937624495765215E8
34 ; 176192.9111111111 ; 0.0 ; 1044311.2408333333 ; 1.3210299503183122E8;1.3210299503183122E8
35 ; 218283.60361111112 ; 0.0 ; 1086027.7719444444 ; 1.308089196056459E8;1.308089196056459E8
36 ; 158942.99083333334 ; 0.0 ; 1026847.5088888889 ; 1.3296985144707106E8;1.3296985144707106E8
37 ; 175901.72916666666 ; 0.0 ; 1043472.6380555555 ; 1.3264005147007014E8;1.3264005147007014E8
38 ; 194600.6627777778 ; 0.0 ; 1062084.3452777779 ; 1.3243190528726484E8;1.3243190528726484E8
39 ; 137941.1186111111 ; 0.0 ; 1005584.0 ; 1.3373223136397845E8;1.3373223136397845E8
40 ; 176541.79972222223 ; 0.0 ; 1043698.9866666667 ; 1.3274187787453559E8;1.3274187787453559E8
41 ; 161840.6075 ; 0.0 ; 1029238.5252777778 ; 1.3297196281791823E8;1.3297196281791823E8
42 ; 183996.6311111111 ; 0.0 ; 1051106.6994444444 ; 1.326728449550137E8;1.326728449550137E8
43 ; 275188.7463888889 ; 0.0 ; 1142651.5930555556 ; 1.3023053280777468E8;1.3023053280777468E8
44 ; 189231.5247222222 ; 0.0 ; 1057039.0052777778 ; 1.328391519711593E8;1.328391519711593E8
45 ; 154829.665 ; 0.0 ; 1021900.2386111111 ; 1.3368227880361192E8;1.3368227880361192E8
46 ; 122804.29111111112 ; 0.0 ; 989910.9572222222 ; 1.3461129828499195E8;1.3461129828499195E8
47 ; 144898.0313888889 ; 0.0 ; 1011777.2275 ; 1.3380762809123167E8;1.3380762809123167E8
48 ; 216485.2825 ; 0.0 ; 1083015.993611111 ; 1.3201556953633681E8;1.3201556953633681E8
49 ; 213538.97194444443 ; 0.0 ; 1080877.5041666667 ; 1.3243986230858922E8;1.3243986230858922E8
50 ; 209368.05027777777 ; 0.0 ; 1076767.9372222223 ; 1.3170600803780292E8;1.3170600803780292E8
51 ; 214431.13805555555 ; 0.0 ; 1081916.6297222222 ; 1.3274102019926238E8;1.3274102019926238E8
52 ; 192258.0836111111 ; 0.0 ; 1059718.2958333334 ; 1.3262666736719802E8;1.3262666736719802E8
53 ; 161073.06194444443 ; 0.0 ; 1028645.2113888889 ; 1.3416231219264935E8;1.3416231219264935E8
54 ; 173864.7563888889 ; 0.0 ; 1041153.5486111111 ; 1.3348578245399821E8;1.3348578245399821E8
