Iteration , Total delay [hours] , Total congestion toll payments [monetary units] , Total travel time [hours], Total user benefits [monetary units]," System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]"
25,139094.48722222223,0.0,1011272.7633333332,115695917.73178342,115695917.73178342
26,175578.80527777778,0.0,1047638.6225,114606503.8929652,114606503.8929652
27,171727.29555555555,0.0,1043507.5730555556,114870004.63496137,114870004.63496137
28,226566.35916666663,0.0,1098812.3483333334,112941890.24330954,112941890.24330954
29,151108.95694444445,0.0,1022914.5994444444,115812120.83343698,115812120.83343698
30,212682.66583333333,0.0,1084240.2777777778,114187043.30277382,114187043.30277382
31,172198.9286111111,0.0,1044180.0016666668,115406481.20733558,115406481.20733558
32,172310.29305555555,0.0,1043953.5169444444,115600166.22906978,115600166.22906978
33,1195484.4925,0.0,2054165.279722222,71348206.09724322,71348206.09724322
34,596044.0130555555,0.0,1470821.0002777777,99897084.18566751,99897084.18566751
35,467510.7863888889,0.0,1341376.2625,106602893.84222674,106602893.84222674
36,211891.6555555556,0.0,1085163.3419444445,114016746.47839974,114016746.47839974
37,202921.30027777777,0.0,1075542.4980555556,113364091.00141086,113364091.00141086
38,160616.6172222222,0.0,1032647.3602777778,115997024.26896824,115997024.26896824
39,205740.75833333333,0.0,1077359.826111111,114629597.28199852,114629597.28199852
40,203536.4338888889,0.0,1075302.605277778,115225761.8796744,115225761.8796744
41,183166.26694444445,0.0,1055179.8994444443,115139368.0455048,115139368.0455048
42,163795.84472222222,0.0,1035139.5525,116539727.47393905,116539727.47393905
43,175680.60277777776,0.0,1047065.5894444444,115780901.97106712,115780901.97106712
44,202377.0625,0.0,1073449.0783333334,115127720.94152966,115127720.94152966
45,166141.5611111111,0.0,1037369.5872222222,116397593.26838438,116397593.26838438
46,181505.14361111115,0.0,1052279.7677777775,116514926.23011726,116514926.23011726
47,135907.3072222222,0.0,1007109.8636111112,117719627.76716442,117719627.76716442
48,195304.81027777775,0.0,1065769.721666667,116096389.29880472,116096389.29880472
49,170234.96555555557,0.0,1041066.975,116510047.88137026,116510047.88137026
50,178631.70333333334,0.0,1049373.308888889,116983989.12784654,116983989.12784654
51,154129.9625,0.0,1024931.9930555556,117839758.0295191,117839758.0295191
52,173290.54638888888,0.0,1043449.1475,117156038.271643,117156038.271643
53,227240.82055555555,0.0,1097363.2033333334,115568247.6207692,115568247.6207692
54,250615.84916666665,0.0,1121130.6430555556,114922796.39090258,114922796.39090258
55,250354.4936111111,0.0,1121494.6055555556,114511141.09842616,114511141.09842616
56,231827.56916666665,0.0,1102343.7269444445,115464640.75745223,115464640.75745223
57,159233.2463888889,0.0,1030287.6383333332,117650367.0484786,117650367.0484786
58,174151.89694444445,0.0,1044421.0372222222,117681180.19846684,117681180.19846684
59,154725.09166666667,0.0,1025471.6786111112,118018941.5109956,118018941.5109956
60,239014.4644444445,0.0,1109259.5891666666,115720698.26845352,115720698.26845352
61,229395.17222222223,0.0,1100091.1705555555,116225465.8315555,116225465.8315555
62,215548.0183333333,0.0,1086316.4227777778,116673876.37419492,116673876.37419492
63,1266205.5980555555,0.0,2122270.6077777776,69383345.22624385,69383345.22624385
64,481905.34194444446,0.0,1355497.4186111111,107395591.2939564,107395591.2939564
65,281713.2561111111,0.0,1153513.5469444443,114646297.42868488,114646297.42868488
66,172499.63722222223,0.0,1043116.9608333332,118130106.98454894,118130106.98454894
67,152884.62972222222,0.0,1023398.7777777778,118613071.37889692,118613071.37889692
68,177237.83111111113,0.0,1047322.8913888888,117611232.35313284,117611232.35313284
69,147050.09944444444,0.0,1017524.9986111112,118909647.76608616,118909647.76608616
70,202014.5225,0.0,1071863.1180555555,117142853.17303896,117142853.17303896
71,151773.46805555557,0.0,1021995.6975,119243520.33223964,119243520.33223964
72,128078.7075,0.0,997792.2097222222,120036897.09376696,120036897.09376696
73,232784.2505555556,0.0,1102123.681388889,116959405.81481406,116959405.81481406
74,214356.32944444445,0.0,1083928.815,117878796.14733703,117878796.14733703
75,217862.12583333327,0.0,1088073.036111111,117268175.1867918,117268175.1867918
76,155038.3475,0.0,1024815.7711111112,119504968.66605988,119504968.66605988
77,209815.00944444444,0.0,1079458.7905555556,117960605.60079204,117960605.60079204
78,269976.99,0.0,1139845.591388889,115842027.24716488,115842027.24716488
79,249576.23944444445,0.0,1120216.0019444444,116296476.84281003,116296476.84281003
80,237189.27166666667,0.0,1107970.2066666668,117422956.73445132,117422956.73445132
