Number,Date ,Time,T5-T0 (Mins.),Location,Class,Affected Volume,Total Excess Travel Time,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction,Responding IMTs,MATSim Link,Start,End,,,,,,
54,9/11/2018,13:34:12,56,256997 I15 NB,1,1525,161.91,40.1127,-111.67164,3,2,0.5238,4,38274,48852,52212,,13,5,0.969925,4%,0.969924812
55,9/12/2018,11:39:07,55,1746 N I15 NB,1,2669,165.1,40.8005,-111.91996,4,1,0.25,1,24496,41947,45247,,14,2,0.984962,2%,0.984962406
56,9/12/2018,14:17:15,32,261033 I15 NB; MM 261 I15 NB,1,11060,88.29,40.183,-111.64643,5,1,0.2,1,32395,51435,53355,,15,0,0.984962,0%,0.984962406
57,9/18/2018,9:04:30,9,2200 S I15 NB,1,7128,70.6,40.70797,-111.90357,4,1,0.25,3,24443,32670,33210,,16,0,0.984962,0%,0.984962406
58,9/18/2018,12:50:36,22,4200 S I15 SB,1,10478,104.73,40.68321,-111.90217,7,1,0.1429,2,35810,46236,47556,,17,0,0.984962,0%,0.984962406
59,9/18/2018,15:26:16,18,1300 E I80 EB,1,6619,193.19,40.71956,-111.85485,4,1,0.25,1,1072,55576,56656,,18,2,1,2%,1
60,9/18/2018,15:31:24,60,4700 S I215W SB,1,6194,128.59,40.66762,-111.95245,4,1,0.25,1,33045,55884,59484,,,,,,
61,9/19/2018,8:53:33,5,2100 S I15 NB,1,3645,151.31,40.7185,-111.90433,4,2,0.5,1,24924,32013,32313,,,,,,
62,9/20/2018,9:01:40,102,1900 W I80 EB,1,11311,6.22,40.48561,-111.89707,4,1,0.463,2,45972,32500,38620,,,,,,
63,9/24/2018,15:13:32,60,700 E I80 WB,1,5336,15.5,40.67073,-111.90116,5,1,0.1765,1,45972,54812,58412,,,,,,
64,9/25/2018,12:40:20,26,281930 I15 NB,1,2071,36.27,40.40017,-111.84805,5,1,0.2,1,25072,45620,47180,,,,,,
65,9/26/2018,11:11:51,24,280003 I15 NB,1,1947,15.05,40.39515,-111.83909,5,1,0.2,3,24897,40311,41751,,,,,,
66,9/28/2018,15:54:36,57,7200 S I15 NB,1,6193,186.55,40.77403,-111.91016,6,1,0.2,1,1549,57276,60696,,,,,,
67,3/1/2018,17:30:53,25,14793 S I15 SB,2,6877,331.53,40.490253,-111.892839,7,2,0.2857,1,24404,63053,64553,,,,,,
68,3/2/2018,7:29:18,9,277023 I15 NB,2,4371,288.19,40.36692,-111.79517,6,1,0.1667,1,24404,26958,27498,,,,,,
69,3/2/2018,7:59:07,34,274983 I15 NB,2,7295,301.89,40.347775,-111.76499,6,2,0.1667,1,24872,28747,30787,,,,,,
70,3/9/2018,9:51:34,50,9488 S I15 NB,2,8575,289.7,40.574,-111.90003,5,2,0.4,2,24570,35494,38494,,,,,,
71,3/9/2018,16:13:23,28,1700 S I15 SB,2,7560,327.88,40.84047,-111.91501,5,2,0.2778,2,24420,58403,60083,,,,,,
72,3/13/2018,11:13:41,70,6400 S I15 NB,2,4889,386.7,40.6373,-111.90435,5,2,0.3433,1,24876,40421,44621,,,,,,
73,3/13/2018,14:47:49,61,271005 I15 SB,2,6359,327.45,40.402131,-111.851375,6,2,0.3185,3,24422,53269,56929,,,,,,
74,3/14/2018,7:08:27,8,11100 S I15 NB,2,6477,321.24,40.547814,-111.895416,5,4,0.4667,1,33500,25707,26187,,,,,,
75,3/21/2018,8:44:13,25,279002 I15 NB,2,3407,262.34,40.38409,-111.83057,5,2,0.3412,2,45972,31453,32953,,,,,,
76,3/29/2018,14:32:33,66,2700 S I15 NB,2,8455,272.25,40.70797,-111.90357,4,1,0.25,2,33500,52353,56313,,,,,,
77,5/3/2018,13:51:18,21,8900 S I15 NB,2,22548,385.17,40.59016,-111.90093,6,1,0.1667,2,31665,49878,51138,,,,,,
