Iteration , Total delay [hours] , Total congestion toll payments [monetary units] , Total travel time [hours], Total user benefits [monetary units]," System welfare (only considering congestion toll revenues, other revenues are neglected [monetary units]"
29,125068.63833333334,0.0,994933.165,117137248.68620034,117137248.68620034
30,200401.42472222223,0.0,1070203.6719444443,114857332.66643244,114857332.66643244
31,297884.9975,0.0,1168388.8069444443,113195195.17307788,113195195.17307788
32,125846.46638888888,0.0,996976.1422222222,117271288.59116197,117271288.59116197
33,144052.36194444445,0.0,1013912.0938888888,117312113.72823836,117312113.72823836
34,176207.7761111111,0.0,1046038.0316666666,115882942.93525171,115882942.93525171
35,158116.2538888889,0.0,1028169.7744444445,116539772.00605208,116539772.00605208
36,232876.17666666667,0.0,1102896.355,114383936.39201778,114383936.39201778
37,211297.69944444444,0.0,1081356.4944444443,115780574.19120936,115780574.19120936
38,146096.43055555556,0.0,1016532.48,117301134.56598282,117301134.56598282
39,135699.88861111112,0.0,1005400.005,117820844.37628168,117820844.37628168
40,226428.6,0.0,1095847.1841666666,115335690.0661192,115335690.0661192
41,166821.9125,0.0,1037115.1236111112,116664306.88626564,116664306.88626564
42,178419.6125,0.0,1047835.5247222222,116826748.5851806,116826748.5851806
43,1318597.0916666666,0.0,2175597.6166666667,67989474.88902618,67989474.88902618
44,378475.74583333335,0.0,1251761.350833333,109789252.69799536,109789252.69799536
45,1308777.016388889,0.0,2168135.9336111112,69449718.37620048,69449718.37620048
46,395858.6138888889,0.0,1269982.7427777778,108578494.3703454,108578494.3703454
47,440045.7183333333,0.0,1311907.905,109112312.41233644,109112312.41233644
48,228504.7675,0.0,1100883.7288888888,115122408.71471114,115122408.71471114
49,274870.57944444445,0.0,1146402.5144444443,112451966.25410748,112451966.25410748
50,178404.10194444444,0.0,1050602.3283333334,117144299.05031335,117144299.05031335
51,167058.26972222223,0.0,1038127.5177777776,117202052.2378797,117202052.2378797
52,238574.9208333333,0.0,1109564.575277778,115424501.22862294,115424501.22862294
53,205523.3761111111,0.0,1076731.1480555555,116237626.38045774,116237626.38045774
54,181926.44083333333,0.0,1053483.2491666668,117280025.91018152,117280025.91018152
55,164278.56055555557,0.0,1035144.3302777776,117608671.10490286,117608671.10490286
56,208151.7447222222,0.0,1079295.516388889,116765632.83295,116765632.83295
57,1058183.665,0.0,1919001.763611111,78501375.36090425,78501375.36090425
58,554552.3977777777,0.0,1427847.2183333333,105748517.94751158,105748517.94751158
59,315212.9861111111,0.0,1187460.2933333332,112842704.0593871,112842704.0593871
60,188725.6375,0.0,1059957.1505555557,117487142.28811452,117487142.28811452
61,392085.86027777777,0.0,1262911.6075,104946231.92985772,104946231.92985772
62,225057.97666666663,0.0,1097107.8919444445,116306283.97649856,116306283.97649856
63,183637.78194444443,0.0,1054840.9355555556,117362977.40936896,117362977.40936896
64,214979.70527777777,0.0,1085899.638888889,116936696.0413534,116936696.0413534
65,208088.70527777777,0.0,1079275.2527777778,116878496.88649866,116878496.88649866
66,210115.69722222225,0.0,1080293.085277778,116849935.06629056,116849935.06629056
67,149692.36694444445,0.0,1020205.4272222222,118835389.47137176,118835389.47137176
68,198381.85972222223,0.0,1068099.7655555557,117777359.340401,117777359.340401
69,183823.98416666663,0.0,1054274.1063888888,118493155.87310532,118493155.87310532
70,172404.26611111112,0.0,1042568.3686111112,118831341.06751864,118831341.06751864
71,151089.22166666668,0.0,1021128.0141666668,119481284.32402404,119481284.32402404
72,245402.54305555555,0.0,1115345.4911111111,116541997.76402248,116541997.76402248
73,355665.5775,0.0,1226479.0983333334,110626691.95974556,110626691.95974556
74,188989.0336111111,0.0,1060421.7266666666,118294256.61333153,118294256.61333153
75,194323.0897222222,0.0,1065012.1361111111,118340065.7529716,118340065.7529716
76,228251.08583333332,0.0,1098506.9430555557,117217549.76159029,117217549.76159029
77,197314.4030555556,0.0,1067639.39,118297511.49724056,118297511.49724056
78,221354.085,0.0,1091807.5841666667,118007874.44887397,118007874.44887397
79,221507.43,0.0,1091859.9169444444,118157776.2901198,118157776.2901198
80,182375.91361111111,0.0,1052812.7711111112,119551444.7323744,119551444.7323744
